ID,Nword,Nsent,register,Nsent2,Bepp,Getpp,Nbepp,Ngetpp,Bepp-by,Getpp-by,NBepp-by,NGetpp-by
S1552,1458,95,Spoken,95,"['This capability requires an insane amount of information to be processed.', 'Everything is captured and everything is seen.The output of the capture ?', 'Everything was captured surrounding.Now, this is very nice, but what if we wanted to see the scene, maybe, from the eyes of the horse?', 'Really, the possibilities are open.']",[],4,0,[],[],0,0
S1553,1001,50,Spoken,50,"['?be taken seriously as a CEO.', 'Our M and A had fallen through by then, and I was determined to fundraise a war chest to fight them back.', ""For so long, I thought I had to be what I thought a good male CEO looked like so that I wouldn't be judged or treated differently.""]",[],3,0,"['Our M and A had fallen through by then, and I was determined to fundraise a war chest to fight them back.']",[],1,0
S1554,1656,104,Spoken,104,"[""It occurred to me at this very moment that if these ladies at the derby are aware of vulture's connection to death, then why aren't we talking more about these birds at crime scenes?People know that vultures are connected to death."", 'For example, here\'s an email I received from a detective in Louisiana: ""Lauren, there\'s been a kidnapping.', 'Once death has been detected, the turkey vulture lands and quickly scavenges.', 'But there appeared to be a problem because the feathers were located 40 yards from where the body was found.', 'So why in the world would a vulture wander 40 yards?One of the reasons I love vultures is because they tend to operate in a manner that can be explained by biology and physics.', 'I presented this information to the detectives and learned that they suspected the victim had been incapacitated by blunt force trauma to the head.', 'Someone who has been murdered deserves the most thorough investigation possible.']",[],7,0,"['So why in the world would a vulture wander 40 yards?One of the reasons I love vultures is because they tend to operate in a manner that can be explained by biology and physics.', 'I presented this information to the detectives and learned that they suspected the victim had been incapacitated by blunt force trauma to the head.']",[],2,0
S1555,1743,112,Spoken,122,"['Chris Waddell: Felice Bell and Jennifer Murphy are going to do an excerpts from their play ""Other Women,"" which is created and directed by Monica L. Williams, so please welcome Felice Bell and Jennifer Murphy.', 'It fed on cactus and stars, but it kept being delayed.', 'Hid itself in the dark until finally it heard its name being called.', 'Pondered the unspeakable miracle of sticking around long enough to be seen.', 'How we became sisters.FB: Right, so about a year later, Jen and I were invited to read poems in the basement of Two Boots pizzeria.JM: Our careers had taken off!', 'In my mind, we became friends after I was diagnosed with cancer.', 'You are supposed to know this.""', ""It means she's been doing guided meditations again, is about to drop some spiritual-wisdom-type shit about radical acceptance, ergo ?"", '""JM: You and your sister laugh, thank God that pesky dream is finished, now you can finally get back to peeling potatoes and shucking corn.FB: When a sister loves a sister, you want her in the audience when your play premieres at the National Theatre in Washington DC.JM: When a sister loves a sister, she cheers and screams when an agent agrees to send out your stories.FB: When a sister loves a sister, she celebrates your artistic, romantic and spiritual victories.JM: You are like young girls becoming what they always dreamed of becoming when they grew up.FB: When a sister loves a sister, you listen to her read, thinking ?']",[],9,0,"['Chris Waddell: Felice Bell and Jennifer Murphy are going to do an excerpts from their play ""Other Women,"" which is created and directed by Monica L. Williams, so please welcome Felice Bell and Jennifer Murphy.']",[],1,0
S1557,1402,80,Spoken,80,"[""?how the first color images were calibrated against a white woman's skin, meaning that color photography was biased against black faces.""]",[],1,0,[],[],0,0
S1558,1763,85,Spoken,85,"['?you know, those big ladder trucks that are used to rescue people from burning buildings?', 'But we also have to acknowledge that all of these well-intentioned rules, they had the tremendous unintended consequence of making illegal the ways in which we used to build cities.Similarly illegal: at the end of the 19th century, right after the elevator was invented, we built these charming urban buildings, these lovely buildings, all over the world, from Italy to India.', 'It\'s a fear of difference, and architects hear this all the time from their clients: ""If I try that new idea, will I be sued?', 'Will I be mocked?', ""That, to me, only implies that there's even more congestion on the roads, frankly."", ""And if you think that's outlandish, you'd be amazed to know how much of that technology is already being used today in rescue activity.But now I'd like you to really imagine with me."", 'I think you\'d be amazed to know that just a few of these inventions, responsive to human need, would completely transform the way we could build our cities.Now, I bet you\'re also thinking: ""We don\'t have kinetic cobblestones or flying wheelchairs yet, so what can we do about this problem with today\'s technology?""']",[],7,0,[],[],0,0
S1559,2407,102,Spoken,102,"[""It's called vegetable tourism, and believe it or not, people come from all over the world to poke around in our raised beds, even when there's not much growing."", ""And we said to that public meeting in Todmorden, look, let's imagine that our town is focused around three plates: a community plate, the way we live our everyday lives; a learning plate, what we teach our kids in school and what new skills we share amongst ourselves; and business, what we do with the pound in our pocket and which businesses we choose to support.Now, let's imagine those plates agitated with community actions around food."", ""And it's been the same in every single room, in every town that we've ever told our story."", ""They want positive actions they can engage in, and in their bones, they know it's time to take personal responsibility and invest in more kindness to each other and to the environment.And since we had that meeting three and a half years ago, it's been a heck of a roller coaster."", ""We've just had a 6-million-pound health center built in Todmorden, and for some reason that I cannot comprehend, it has been surrounded by prickly plants."", ""And there's been lots of other examples, like the corn that was in front of the police station, and the old people's home that we've planted it with food that they can pick and grow.But it isn't just about growing, because we all are part of this jigsaw."", ""We are designing and building an aquaponics unit in some land that was spare at the back of the high school, like you do, and now we're going to be growing fish and vegetables in an orchard with bees, and the kids are helping us build that, and the kids are on the board, and because the community was really keen on working with the high school, the high school is now teaching agriculture, and because it's teaching agriculture, we started to think, how could we then get those kids that never had a qualification before in their lives but are really excited about growing, how can we give them some more experience?So we got some land that was donated by a local garden center."", ""We started with four, and we've now got 64 on, and the result of that was that people were then going into shops asking for a local Todmorden egg, and the result of that was, some farmers upped the amount of flocks they got of free range birds, and then they went on to meat birds, and although these are really, really small steps, that increasing local economic confidence is starting to play out in a number of ways, and we now have farmers doing cheese and they've upped their flocks and rare breed pigs, they're doing pasties and pies and things that they would have never done before."", 'But it is joined up, and it is inclusive.', ""Across age, across income, across culture.It's been really quite a roller coaster experience, but going back to that first question that we asked, is it replicable?"", ""People after the earthquake in New Zealand visited us in order to incorporate some of this public spiritedness around local growing into the heart of Christchurch.And none of this takes more money and none of this demands a bureaucracy, but it does demand that you think things differently and you are prepared to bend budgets and work programs in order to create that supportive framework that communities can bounce off.And there's some great ideas already in our patch.""]","[""So they're doing that, and we're going to launch it later this year, and it's all an experiment, and it's all voluntary.And then there's the third plate, because if you walk through an edible landscape, and if you're learning new skills, and if you start to get interested in what's growing seasonally, you might just want to spend more of your own money in support of local producers, not just veg, but meat and cheese and beer and whatever else it might be.But then, we're just a community group, you know.""]",11,1,"[""We've just had a 6-million-pound health center built in Todmorden, and for some reason that I cannot comprehend, it has been surrounded by prickly plants."", ""We are designing and building an aquaponics unit in some land that was spare at the back of the high school, like you do, and now we're going to be growing fish and vegetables in an orchard with bees, and the kids are helping us build that, and the kids are on the board, and because the community was really keen on working with the high school, the high school is now teaching agriculture, and because it's teaching agriculture, we started to think, how could we then get those kids that never had a qualification before in their lives but are really excited about growing, how can we give them some more experience?So we got some land that was donated by a local garden center.""]",[],2,0
S1564,953,55,Spoken,55,"[""Essential amino acids are called essential because we can't synthesize them in our bodies."", 'The first increases in productivity, of course, are improved animal health.', ""This stage is synthesized through algorithms from some of the top livestock institutions in the world before it lands back in the farmers' hands in actionable SMSs.""]",[],3,0,[],[],0,0
S1565,1611,76,Spoken,76,"[""To me, they are the students, coworkers and plain old regular folks who are often overlooked because they're seen as neither exceptional nor problematic."", 'While black and Latinx students nationally tend to graduate from college in six years or less, at a percent of 38, we were recognized by the College Board for our ability not to just get kids into college but to get them through college.', 'And we should not be asking the folks in the middle to make the leap without providing them with the tools, strategies and support they deserve to make progress in their lives.A young woman I had been mentoring for a long time, Nicole, came to my office one day, after her guidance counselor looked at her pretty strong transcript and expressed utter shock and amazement that she was even interested in going to college.', ""And it's been so wonderful to look back and see all of my former colleagues who've gone on to get doctorates and assume leadership roles in other organizations.We have what it takes to inspire and uplift the folks in the middle."", 'Because, in the final analysis, what is often mistaken for a period is really just a comma.Thank you.']",[],5,0,"['While black and Latinx students nationally tend to graduate from college in six years or less, at a percent of 38, we were recognized by the College Board for our ability not to just get kids into college but to get them through college.']",[],1,0
S1566,1931,121,Spoken,121,"[""If you look at these crises, you realize that they're urgent and they need to be addressed now."", ""These are all the professions that a country needs, as well as the professions that have not been invented yet.And young people are also telling me that they're worried about violence."", ""Every seven minutes, an adolescent boy or girl somewhere in the world is killed by an act of violence.And girls are telling me that they're especially worried about their futures."", ""That's the number of women who were married before their 18th birthday."", 'So, no wonder girls are worried about their futures.These urgent crises may not be a reality in your life or in your neighborhood.', ""And it's called Generation Unlimited or Gen-U or Gen you."", ""Could every school, everywhere in the world, no matter how remote or mountainous, or even if it's in a refugee camp, could they be connected to the internet?""]",[],7,0,"[""Every seven minutes, an adolescent boy or girl somewhere in the world is killed by an act of violence.And girls are telling me that they're especially worried about their futures.""]",[],1,0
S1570,2036,98,Spoken,98,"['Out of those, about a million are targeted for police use of force.', ""And if you're Black, you're two to four times more likely to be targeted for that force than if you're white."", 'So our next question is, how many Black people actually are targeted for police use of force?', ""Well, a big portion of the gap is the difference between what's predicted by things police can't control and what's predicted by things police can control ?"", 'So in 2015, the Minneapolis PD let us know their community was concerned they were using force too often.', 'So we showed them how to leverage their own data to identify situations where force could be avoided.', ""And that means that once we have the will and the resources to do it, this could be the generation that stops feeling like racism is an unsolvable problem and instead sees that what's been necessary for far too long is possible.Thank you.""]",[],7,0,"[""Well, a big portion of the gap is the difference between what's predicted by things police can't control and what's predicted by things police can control ?""]",[],1,0
S1573,2112,93,Spoken,93,"['It said, ""Breaking news: Two explosions at the White House and Barack Obama has been injured.""', ""This tweet was retweeted 4,000 times in less than five minutes, and it went viral thereafter.Now, this tweet wasn't real news put out by the Associated Press."", 'In fact it was false news, or fake news, that was propagated by Syrian hackers that had infiltrated the Associated Press Twitter handle.', 'Because automated trading algorithms immediately seized on the sentiment on this tweet, and began trading based on the potential that the president of the United States had been injured or killed in this explosion.', '?misinformation designed to sow discord in the US presidential election.A recent study by Oxford University showed that in the recent Swedish elections, one third of all of the information spreading on social media about the election was fake or misinformation.In addition, these types of social-media misinformation campaigns can spread what has been called ""genocidal propaganda,"" for instance against the Rohingya in Burma, triggering mob killings in India.We studied fake news and began studying it before it was a popular term.', 'And when we studied this information, we studied verified news stories that were verified by six independent fact-checking organizations.', 'And yet, false news was 70 percent more likely to be retweeted than the truth, controlling for all of these and many other factors.So we had to come up with other explanations.', 'And when videographers and stuntmen and women were interviewed about this type of technique, they said, ""Yes, we use this in the movies all the time to make our punches and kicks look more choppy and more aggressive.""', 'What is contained in this information?', 'In the United States, currently, we are exploring what might happen if Facebook and others are regulated.', 'And in authoritarian regimes, these kinds of policies can be used to suppress minority opinions and to continue to extend repression.The fourth possible option is transparency.', 'We are asking them, at the same time, to be open and transparent and, simultaneously secure.', 'Humans have to be in the loop of this technology, because we can never escape that underlying any technological solution or approach is a fundamental ethical and philosophical question about how do we define truth and falsity, to whom do we give the power to define truth and falsity and which opinions are legitimate, which type of speech should be allowed and so on.']",[],13,0,"[""This tweet was retweeted 4,000 times in less than five minutes, and it went viral thereafter.Now, this tweet wasn't real news put out by the Associated Press."", 'In fact it was false news, or fake news, that was propagated by Syrian hackers that had infiltrated the Associated Press Twitter handle.', '?misinformation designed to sow discord in the US presidential election.A recent study by Oxford University showed that in the recent Swedish elections, one third of all of the information spreading on social media about the election was fake or misinformation.In addition, these types of social-media misinformation campaigns can spread what has been called ""genocidal propaganda,"" for instance against the Rohingya in Burma, triggering mob killings in India.We studied fake news and began studying it before it was a popular term.', 'And when we studied this information, we studied verified news stories that were verified by six independent fact-checking organizations.']",[],4,0
S1578,2120,111,Spoken,111,"['The ice generated would then be collected in the early morning hours and stored for use in the building you see on the right, all the way through the summer months.', 'And I was amazed by its apparent simplicity as a cooling method, yet really puzzled.', 'It was called night-sky cooling for a reason.', ""These panels can then be integrated with a component almost every cooling system has, called a condenser, to improve the system's underlying efficiency."", 'That difference, at least conceptually, could be used to drive something called a heat engine to generate electricity.']",[],5,0,"['And I was amazed by its apparent simplicity as a cooling method, yet really puzzled.']",[],1,0
S1583,766,23,Spoken,23,"[""I'm an immunologist, and by using what I know about our body's defense system, I was able to identify key players in our fight to build back our cuts and bruises.When looking at materials that are currently being tested for their abilities to help regrow muscle, our team noticed that after treating an injured muscle with these materials, there was a large number of immune cells in that material and the surrounding muscle."", ""Now, using our immune system, our body could grow back without these scars and look like what it was before we were even injured.I'm working to create materials that give us the signals to build new tissue by changing the immune response."", 'We know that any time a material is implanted in our body, the immune system will respond to it.', 'So in other words, we can orchestrate this Broadway show of cells by giving them the correct stage, cues and props that can be changed for different tissues, just like a producer would change the set for ""Les Mis"" versus ""Little Shop of Horrors.""']",[],4,0,"[""I'm an immunologist, and by using what I know about our body's defense system, I was able to identify key players in our fight to build back our cuts and bruises.When looking at materials that are currently being tested for their abilities to help regrow muscle, our team noticed that after treating an injured muscle with these materials, there was a large number of immune cells in that material and the surrounding muscle."", ""Now, using our immune system, our body could grow back without these scars and look like what it was before we were even injured.I'm working to create materials that give us the signals to build new tissue by changing the immune response."", 'So in other words, we can orchestrate this Broadway show of cells by giving them the correct stage, cues and props that can be changed for different tissues, just like a producer would change the set for ""Les Mis"" versus ""Little Shop of Horrors.""']",[],3,0
S1585,3193,243,Spoken,243,"['He was trained as a physicist, and after the war he wanted to do biophysics, and he picked DNA because DNA had been determined at the Rockefeller Institute to possibly be the genetic molecules on the chromosomes.', ""He'll build a model, and then we're going to be scooped.And, in fact, he'd written the people in London: Could he see their x-ray photograph?"", 'And boy, I was scared because I thought, you know, we may be scooped.', 'And, you know, we were still in the game, but we were frightened that somebody at Caltech would tell Linus that he was wrong.', 'She really, you know, in one sense she was a chemist, but really she would have been trained ?', 'So we saw how genetic information is carried.', 'This was taken in Cambridge in September of 1955.', ""But as you can see, there's seven out of 20 had a change which was very high.""]","['Before you get treated for cancer, you should really look at this technique, and get a feeling of the face of the enemy.']",8,1,[],[],0,0
S1589,1245,52,Spoken,52,"['The Kraken, a beast so terrifying it was said to devour men and ships and whales, and so enormous it could be mistaken for an island.', ""In 2010, there was a TED event called Mission Blue held aboard the Lindblad Explorer in the Galapagos as part of the fulfillment of Sylvia Earle's TED wish."", ""Mike deGruy was also invited, and he spoke with great passion about his love of the ocean, and he also talked to me about applying my approach to something he's been involved with for a very long time, which is the hunt for the giant squid."", ""I think that's got to be scaring a lot of animals away.So for the deep sea squid hunt, I proposed using an optical lure attached to a camera platform with no thrusters, no motors, just a battery-powered camera, and the only illumination coming from red light that's invisible to most deep-sea animals that are adapted to see primarily blue."", 'So this camera platform, which we called the Medusa, could just be thrown off the back of the ship, attached to a float at the surface with over 2,000 feet of line, it would just float around passively carried by the currents, and the only light visible to the animals in the deep would be the blue light of the optical lure, which we called the electronic jellyfish, or e-jelly, because it was designed to imitate the bioluminescent display of the common deep sea jellyfish Atolla.Now, this pinwheel of light that the Atolla produces is known as a bioluminescent burglar alarm and is a form of defense.', ""The reason that the electronic jellyfish worked as a lure is not because giant squid eat jellyfish, but it's because this jellyfish only resorts to producing this light when it's being chewed on by a predator and its only hope for escape may be to attract the attention of a larger predator that will attack its attacker and thereby afford it an opportunity for escape.""]",[],6,0,"['So this camera platform, which we called the Medusa, could just be thrown off the back of the ship, attached to a float at the surface with over 2,000 feet of line, it would just float around passively carried by the currents, and the only light visible to the animals in the deep would be the blue light of the optical lure, which we called the electronic jellyfish, or e-jelly, because it was designed to imitate the bioluminescent display of the common deep sea jellyfish Atolla.Now, this pinwheel of light that the Atolla produces is known as a bioluminescent burglar alarm and is a form of defense.', ""The reason that the electronic jellyfish worked as a lure is not because giant squid eat jellyfish, but it's because this jellyfish only resorts to producing this light when it's being chewed on by a predator and its only hope for escape may be to attract the attention of a larger predator that will attack its attacker and thereby afford it an opportunity for escape.""]",[],2,0
S1599,903,40,Spoken,40,"[""I've worked in the Sahara because I've been on a quest to uncover new remains of a bizarre, giant predatory dinosaur called Spinosaurus.A few bones of this animal have been found in the deserts of Egypt and were described about 100 years ago by a German paleontologist."", 'Unfortunately, all his Spinosaurus bones were destroyed in World War II.', ""So all we're left with are just a few drawings and notes.From these drawings, we know that this creature, which lived  about 100 million years ago, was very big, it had tall spines on its back, forming a magnificent sail, and it had long, slender jaws,  a bit like a crocodile, with conical teeth, that may have been used  to catch slippery prey, like fish."", 'We found remains of giant predatory dinosaurs, medium-sized predatory dinosaurs, and seven or eight different kinds of crocodile-like hunters.These fossils were deposited in a river system.', 'The river system was also home  to a giant, car-sized coelacanth, a monster sawfish, and the skies over the river system were filled with pterosaurs, flying reptiles.', '?and we think they may have been used to walk on soft sediment, or maybe for paddling in the water.', '?dense bone, paddle-like feet, and the hind limbs are reduced in size, and again, this is something we see in animals that spend a substantial amount  of time in the water.So, as we fleshed out our Spinosaurus ?']",[],7,0,"[""I've worked in the Sahara because I've been on a quest to uncover new remains of a bizarre, giant predatory dinosaur called Spinosaurus.A few bones of this animal have been found in the deserts of Egypt and were described about 100 years ago by a German paleontologist.""]",[],1,0
S1601,2862,137,Spoken,137,"['And the view of scientists about how coral reefs work, how they ought to be, was based on these reefs without any fish.', 'You can see the rows in the bottom, the way you can see the rows in a field that has just been plowed to plant corn.', 'What it is now is mud, and the area of the ocean floor that has been transformed from forest to level mud, to parking lot, is equivalent to the entire area of all the forests that have ever been cut down on all of the earth in the history of humanity.', ""And I'm going to just talk very briefly about two kinds of biological pollution: one is introduced species and the other is what comes from nutrients."", 'A book was written about it.', 'It was accidentally released from the aquarium in Monaco, it was bred to be cold tolerant to have in peoples aquaria.', ""It's subsidized, which is one of the reasons we used too much of it."", 'Even in Newfoundland where we used to catch cod, we now have a jellyfish fishery.And another version of this sort of thing is what is often called red tides or toxic blooms.', 'It was when I was on holiday last early autumn in France.', 'This is from the coast of Brittany, which is being enveloped in this green, algal slime.', ""The reason that it attracted so much attention, besides the fact that it's disgusting, is that sea birds flying over it are asphyxiated by the smell and die, and a farmer died of it, and you can imagine the scandal that happened."", ""And so there's this war between the farmers and the fishermen about it all, and the net result is that the beaches of Brittany have to be bulldozed of this stuff on a regular basis.And then, of course, there's climate change, and we all know about climate change."", ""Except it's supposed to be brown."", ""Then you sure won't want to eat fish that were raised in it, because it would be a kind of gastronomic Russian roulette.""]",[],14,0,"[""The reason that it attracted so much attention, besides the fact that it's disgusting, is that sea birds flying over it are asphyxiated by the smell and die, and a farmer died of it, and you can imagine the scandal that happened.""]",[],1,0
S1607,1774,122,Spoken,122,"['So this can be used for making amazing things, like super-fabrics for industrial and medical applications.', 'So the question is: How do cat fleas do it?It turns out, they make this wonderful material, which is called resilin.', 'They develop into organs, and together bring life.So we at the Hebrew University, about 10 years ago, decided to focus on probably the most important biomaterial for humans, which is collagen.', 'A heart valve, very similar to the one that I showed you before, seven years ago, was implanted in his body.', 'We grow them for about 50 to 70 days, we harvest the leaves, and then the leaves are transported by cooling trucks to the factory.', ""And more recently, even, we've been able to launch into the market here in Europe a flowable gel that is used for diabetic foot ulcers, that is now approved for use in the clinic.This is not science fiction."", ""So oddly enough, in the future, when a patient is transplanted with artificial tendons or ligaments made from these fibers, we'll have better performance after the surgery than we had before the injury.So what's for the future?"", ""And I'm going to say that the book was written."", 'It was written over three billion years of evolution.']",[],9,0,"['We grow them for about 50 to 70 days, we harvest the leaves, and then the leaves are transported by cooling trucks to the factory.']",[],1,0
S1610,2458,113,Spoken,113,"[""The problem's actually  a bit worse than this 'cause we're not just sending  poor kids to prison, we're saddling poor kids with court fees, with probation and parole restrictions, with low-level warrants, we're asking them to live  in halfway houses and on house arrest, and we're asking them  to negotiate a police force that is entering poor communities of color, not for the purposes  of promoting public safety, but to make arrest counts, to line city coffers.This is the hidden underside to our historic experiment in punishment: young people worried that at any moment, they will be stopped, searched and seized."", ""So you've got these two parallel journeys going on simultaneously: the kids attending  this elite, private university, and the kids from  the adjacent neighborhood, some of whom are making it to college, and many of whom  are being shipped to prison.In my sophomore year, I started tutoring a young woman who was in high school who lived about 10 minutes away from the university."", 'The other kid was fine the next day, I think it was his pride that was injured more than anything.But anyway, since Chuck was 18, this agg.', 'Tim was pretty happy that day.The next fall, Chuck tried  to re-enroll as a senior, but the school secretary told him that he was then 19 and too old  to be readmitted.', 'Chuck had no idea where in the history of this car it had been stolen.', 'And then a juvenile judge,  a few days later, charged Tim, age 11, with accessory to receiving a stolen property and then he was placed on  three years of probation.', ""So if you're convicted  of something you did do, you should be punished for it."", 'And finally, a criminal justice system that believes in black young people, rather than treating black young people  as the enemy to be rounded up.', 'Young people have always been leaders in the fight for equal rights, the fight for more people  to be granted dignity and a fighting chance at freedom.']",[],9,0,[],[],0,0
S1613,997,41,Spoken,41,"['Importantly, the same technology can be used to search for antiviral compounds that could help us fight the current pandemic.Machine learning is turning the traditional model of drug discovery on its head.', ""With this approach, instead of painstakingly testing thousands of existing molecules one by one in a lab for their effectiveness, we can train a computer to explore the exponentially larger space of essentially all possible molecules that could be synthesized, and thus, instead of looking for a needle in a haystack, we can use the giant magnet of computing power to find many needles in multiple haystacks simultaneously.We've already had some early success."", ""For context: the number of new class of antibiotics that have been discovered over the last three decades is zero.While the quest for new antibiotics is for our medium-term future, the novel coronavirus poses an immediate deadly threat, and I'm excited to share that we think we can use the same technology to search for therapeutics to fight this virus."", 'These data will be use to train a machine learning model that will be applied to an in silico library of over a billion molecules to search for potential novel antiviral compounds.', 'The Antibiotics AI Project is founded on our proof of concept research that led to the discovery of a novel broad-spectrum antibiotic called halicin.', ""We then applied this model to a drug-repurposing library consisting of several thousand molecules and asked the model to identify molecules that are predicted to have antibacterial properties but don't look like existing antibiotics."", ""The sensors are activated when they're rehydrated by a patient sample that could consist of blood or saliva, for example."", 'It turns out, this technology is not limited to paper and can be applied to other materials, including cloth.', 'Thus, if a patient is infected with SARS-CoV-2, the mask will produce a fluorescent signal that could be detected by a simple, inexpensive handheld device.', ""In one or two hours, a patient could thus be diagnosed safely, remotely and accurately.We're also using synthetic biology to design a candidate vaccine for COVID-19."", 'We are repurposing the BCG vaccine, which had been used against TB for almost a century.']",[],11,0,"[""With this approach, instead of painstakingly testing thousands of existing molecules one by one in a lab for their effectiveness, we can train a computer to explore the exponentially larger space of essentially all possible molecules that could be synthesized, and thus, instead of looking for a needle in a haystack, we can use the giant magnet of computing power to find many needles in multiple haystacks simultaneously.We've already had some early success."", ""The sensors are activated when they're rehydrated by a patient sample that could consist of blood or saliva, for example."", 'Thus, if a patient is infected with SARS-CoV-2, the mask will produce a fluorescent signal that could be detected by a simple, inexpensive handheld device.']",[],3,0
S1614,1703,108,Spoken,108,"['The whiteflies have destroyed the leaves that are eaten for protein, and the viruses have destroyed the roots that are eaten for starch.', 'So what I mean specifically is, the older genomic technologies that have been required to uncover the complexities in these pests and pathogens ?', 'This was being used in West Africa to fight Ebola.', ""?it's called the Cassava Virus Action Project."", 'Everything that we need for our Tree Lab is being carried by the team here.', 'It\'s called a PDQeX, which stands for ""Pretty Damn Quick Extraction.""', 'And this runs off of a motorcycle battery.From there, we take the DNA extraction and prepare it into a library, getting it ready to load on to this portable, handheld genomic sequencer, which is here, and then we plug this into a mini supercomputer, which is called a MinIT.', 'And both of these things are plugged into a portable battery pack.', 'The farmers were overjoyed.', 'The thing is, farmers are scaled already in Africa.', 'Their pain and their joy is engraved in my memories.']",[],11,0,['Everything that we need for our Tree Lab is being carried by the team here.'],[],1,0
S1615,3123,160,Spoken,160,"['Our progress has undoubtedly stalled.Now we face many challenges when it comes to tackling malaria, but one of the problems that we have is actually finding people who are infected with malaria in the first place.', 'Throughout history, there have been many examples of diseases being associated with a smell.', 'And in fact, when you look at the sort of words that are used to describe diseases, you tend to find these words: ""rotting,"" ""foul,"" ""putrid"" or ""pungent.""', ""What if we could detect the chemicals that are given off by our bodies when we're ill, and use that to diagnose people?"", ""You're going to be bombarded with smells from everywhere."", ""But mosquitoes are able to do that because they have a highly sophisticated sense of smell, and they're able to see through all the, sort of, odor sludge to find you, that individual, and bite you as a blood meal.But what would happen if one of you was infected with malaria?"", 'Once it bites an infected person, the parasite travels through the mouth part into the gut and then bursts through the gut, creates cysts, and then the parasites replicate, and then they make a journey from the gut all the way to the salivary glands, where they are then injected back into another person when the mosquito bites, because it injects saliva as it bites.', 'Now some of the participants were infected with malaria, and some of them were uninfected, but importantly, none of the children had any symptoms whatsoever.Now when we found and saw the results, it was really quite staggering.', 'People who were infected with malaria were significantly more attractive than people who were uninfected.', ""On the far left-hand side, that bar represents a group of people who are uninfected, and as we move towards the right-hand side, these people have become infected and they're moving towards the stage that they're infectious."", 'So right at the stage when people are infectious is when they are significantly more attractive.In this study, then, what we did is we obviously gave the children treatment to clear the parasites, and then we tested them again, and what we found was that highly attractive trait that was there disappeared after they had cleared the infection.', 'And we went out to the Gambia and did some more odor collection on children that were infected and uninfected, but this time, we collected their odor by making them wear socks, nylon stockings, to collect their body odor.', 'Now three of the socks have been worn by children who were uninfected, and just one of the socks was worn by a child who was infected with malaria.', 'But it is really incredible, and when we do this, what we find is that these dogs can correctly tell us when somebody is infected with malaria 81 percent of the time.']","[""There's always one or two really annoying people that never get bitten."", 'Now, one thing we know about the parasite world is that they are incredibly good at manipulating their hosts to enhance their own transmission, to make sure that they get passed onwards.']",14,2,"[""What if we could detect the chemicals that are given off by our bodies when we're ill, and use that to diagnose people?"", 'And we went out to the Gambia and did some more odor collection on children that were infected and uninfected, but this time, we collected their odor by making them wear socks, nylon stockings, to collect their body odor.', 'Now three of the socks have been worn by children who were uninfected, and just one of the socks was worn by a child who was infected with malaria.']",[],3,0
S1616,2349,130,Spoken,130,"['So while we see advanced technology like robotics and artificial intelligence growing exponentially in the developed world, those same people are worried that a technologically backward Africa is falling behind.', ""We pull the blood from our stock, which is delivered from the National Center for Blood Transfusion; we scan the blood into our system so the Ministry of Health knows where the blood is going; and then we'll basically pack it into a Zip, which is what we call these little autonomous airplanes that run on batteries."", ""That's actually not been achieved by any other health care system on the planet, and it happened here."", ""Luckily, the doctors had some blood of her blood type on hand that had been delivered via Zipline's routine service, and so they transfused her with a couple units of blood."", 'All of it was transfused into her, the doctors were able to stabilize her, and she is healthy today.', ""And that's the reason this attitude of Africa being disrupted or advanced technology not working here or needing aid is so totally wrong."", 'And the jobs that these kids may have gotten 10 years ago are largely being automated or are being changed dramatically by technology.', ""So why aren't there more start-ups that are tackling these global problems that are faced by billions of people in developing economies?""]",[],8,0,"[""That's actually not been achieved by any other health care system on the planet, and it happened here."", 'And the jobs that these kids may have gotten 10 years ago are largely being automated or are being changed dramatically by technology.', ""So why aren't there more start-ups that are tackling these global problems that are faced by billions of people in developing economies?""]",[],3,0
